,city,latitude,longitude,date,temperature,humidity,cloudiness,windspeed
0,Casino,-28.86,153.05,1573351782,76.91,15,0,6.93
1,Geraldton,49.72,-86.95,1573351782,17.6,85,90,4.7
2,Tasiilaq,65.61,-37.64,1573351782,35.6,74,100,46.08
3,Zambezi,-13.55,23.12,1573351782,67.59,84,96,0.49
4,Betsiamites,48.94,-68.65,1573351782,28.4,86,90,21.92
5,Camopi,3.17,-52.33,1573351782,72.05,96,7,2.35
6,Kodiak,39.95,-94.76,1573351782,54.09,54,1,11.41
7,Nikolskoye,59.7,30.79,1573351782,38.79,100,90,4.47
8,Kaitangata,-46.28,169.85,1573351782,51.01,83,99,10.0
9,Hithadhoo,-0.6,73.08,1573351782,82.0,74,1,9.15
10,Atuona,-9.8,-139.03,1573351782,79.92,78,3,13.06
11,Hanna,51.64,-111.93,1573351782,12.24,83,100,8.01
12,Esperance,-33.86,121.89,1573351782,91.4,37,33,20.8
13,Hermanus,-34.42,19.24,1573351782,61.56,96,55,8.01
14,Ushuaia,-54.81,-68.31,1573351770,42.8,56,8,1.43
15,Rikitea,-23.12,-134.97,1573351782,73.6,76,100,13.11
16,Khatanga,71.98,102.47,1573351782,-1.05,96,100,15.99
17,Hojai,26.0,92.85,1573351783,68.49,96,100,0.81
18,Koumac,-20.56,164.28,1573351783,81.45,42,24,7.99
19,Puerto Ayora,-0.74,-90.35,1573351783,70.0,88,8,5.99
20,Qaqortoq,60.72,-46.03,1573351783,46.4,31,45,51.67
21,Barrow,-38.31,-60.23,1573351783,46.02,67,0,7.78
22,Mar del Plata,-46.43,-67.52,1573351783,47.79,68,97,16.71
23,Cayenne,4.94,-52.33,1573351783,80.6,88,14,2.24
24,Thompson,55.74,-97.86,1573351783,-0.41,77,75,4.7
25,Poum,41.28,20.71,1573351783,45.86,90,100,6.89
26,Busselton,-33.64,115.35,1573351783,75.92,42,29,5.41
27,Tahoua,14.89,5.26,1573351783,80.2,15,32,8.32
28,Walvis Bay,-22.95,14.51,1573351783,55.4,93,0,5.82
29,Hobart,-42.88,147.33,1573351757,62.37,29,0,18.34
30,Mataura,-46.19,168.86,1573351783,53.01,82,83,5.99
31,Mukdahan,16.54,104.73,1573351783,68.0,77,40,2.24
32,Mukhen,48.19,136.14,1573351783,32.52,42,0,7.63
33,Mount Gambier,-37.83,140.78,1573351783,55.4,82,90,14.99
34,Avarua,-21.21,-159.78,1573351783,77.0,73,0,10.29
35,Zhuanghe,39.7,122.97,1573351784,53.01,49,100,20.42
36,Saskylakh,71.97,114.09,1573351784,-0.66,98,100,2.13
37,Jamestown,-33.21,138.6,1573351784,74.55,17,0,8.72
38,Cherskiy,68.75,161.3,1573351784,-0.48,90,0,2.59
39,Pangnirtung,66.15,-65.72,1573351784,20.57,67,100,5.03
40,Along,28.17,94.8,1573351784,66.92,75,100,1.92
41,Sibu,2.29,111.83,1573351784,77.0,88,75,4.7
42,Slavutych,51.52,30.76,1573351784,50.74,94,100,11.65
43,Hofn,64.25,-15.21,1573351784,45.46,77,98,24.9
44,Chalmette,29.94,-89.96,1573351784,48.13,100,1,6.6
45,Puerto Carreno,6.19,-67.49,1573351719,78.19,83,100,2.8
46,Tuktoyaktuk,69.44,-133.03,1573351784,5.0,71,20,14.99
47,Margate,-43.03,147.26,1573351784,62.38,29,0,18.34
48,Sorong,-0.86,131.25,1573351784,92.95,47,42,3.06
49,Agadez,16.97,7.99,1573351784,79.21,13,2,10.38
50,Port Lincoln,-34.72,135.86,1573351784,67.46,46,0,9.93
51,Ilulissat,69.22,-51.1,1573351784,35.6,29,79,26.4
52,Pevek,69.7,170.27,1573351785,5.23,72,0,1.66
53,Temyasovo,52.99,58.1,1573351785,3.2,84,66,2.24
54,Hilo,19.71,-155.08,1573351785,74.03,69,1,6.93
55,Dikson,73.51,80.55,1573351785,22.26,93,100,20.4
56,Chapais,49.78,-74.86,1573351785,21.2,92,90,4.7
57,Lebu,8.96,38.73,1573351785,49.75,66,7,1.95
58,Tecoanapa,16.99,-99.26,1573351785,84.2,83,20,6.93
59,Mange,8.93,-12.86,1573351785,76.12,94,1,1.41
60,Rancho Palos Verdes,33.75,-118.37,1573351560,71.83,49,1,11.65
61,Kapaa,22.08,-159.32,1573351785,81.0,69,20,9.17
62,Do Gonbadan,30.36,50.8,1573351785,62.6,23,0,6.96
63,Shingu,33.72,135.99,1573351785,66.2,48,20,2.24
64,Cape Town,-33.93,18.42,1573351499,62.65,77,59,5.82
65,Punta Arenas,-53.16,-70.91,1573351785,42.42,75,1,6.93
66,Tabuk,17.41,121.44,1573351785,74.01,90,100,13.22
67,Kavieng,-2.57,150.8,1573351495,78.26,91,100,13.6
68,Fontanka,46.56,30.86,1573351786,59.0,100,90,8.95
69,Chokurdakh,70.62,147.9,1573351786,-4.46,95,70,5.53
70,Richards Bay,-28.77,32.06,1573351786,68.5,80,98,16.84
71,Elbistan,38.2,37.19,1573351786,41.77,78,0,1.01
72,Helong,25.94,116.13,1573351786,70.03,37,100,3.76
73,San Carlos de Bariloche,-41.13,-71.31,1573351786,59.0,47,90,4.7
74,Shelburne,44.08,-80.2,1573351568,34.25,64,90,8.05
75,Gondanglegi,-7.75,112.01,1573351786,90.3,47,5,9.86
76,Bathsheba,13.22,-59.52,1573351786,80.6,78,75,20.8
77,Gorom-Gorom,14.45,-0.24,1573351786,82.33,19,0,5.3
78,Yanam,16.73,82.22,1573351786,75.2,78,20,3.15
79,Katsuura,33.93,134.5,1573351786,62.87,48,20,4.7
80,Ulaangom,49.98,92.07,1573351786,31.33,92,100,6.58
81,Papetoai,-17.5,-149.87,1573351786,83.34,69,75,5.82
82,Chuy,-33.69,-53.46,1573351786,61.86,86,32,10.22
83,La Palma,5.36,-74.39,1573351787,69.15,98,100,1.12
84,Qaanaaq,77.48,-69.36,1573351787,-5.08,42,0,5.82
85,Touho,-20.78,165.23,1573351787,83.08,38,28,10.16
86,Chicama,-7.84,-79.15,1573351787,64.4,82,80,9.17
87,Volchikha,52.02,80.36,1573351787,25.47,55,100,12.84
88,Tuckahoe,37.59,-77.56,1573351787,32.2,74,1,4.9
89,Yellowknife,62.45,-114.38,1573351622,-0.13,70,90,8.05
90,San Patricio,-26.98,-56.83,1573351787,70.25,96,100,4.36
91,Tiksi,71.64,128.87,1573351787,-15.65,99,72,3.58
92,Vaini,15.34,74.49,1573351787,72.55,77,0,5.01
93,Fortuna,40.6,-124.16,1573351787,51.35,81,1,2.59
94,New Norfolk,-42.78,147.06,1573351787,62.37,29,4,18.34
95,Rocha,-34.48,-54.34,1573351787,54.88,96,0,4.52
96,Omboue,-1.57,9.26,1573351787,75.07,98,100,2.55
97,Morgantown,39.63,-79.96,1573351748,37.08,35,90,5.1
98,Batemans Bay,-35.71,150.18,1573351787,63.91,41,100,5.99
99,Kisangani,0.52,25.21,1573351788,69.67,96,92,0.81
100,Albany,42.65,-73.75,1573351781,29.98,50,1,3.36
101,Fairhope,30.52,-87.9,1573351788,50.9,93,1,8.16
102,Nemuro,43.32,145.57,1573351788,42.8,41,20,10.29
103,Cidreira,-30.17,-50.22,1573351788,70.74,88,100,21.34
104,Blairmore,49.61,-114.44,1573351788,19.81,92,90,9.17
105,Port Hardy,50.7,-127.42,1573351788,50.0,93,75,3.36
106,Pisco,-13.71,-76.2,1573351788,64.2,82,31,12.75
107,Bethel,60.79,-161.76,1573351788,26.6,85,75,11.41
108,Provideniya,64.42,-173.23,1573351788,34.23,99,100,3.33
109,Lodja,-3.52,23.6,1573351788,68.95,97,98,0.65
110,Rio Grande,-32.03,-52.1,1573351788,71.01,91,77,4.0
111,Port Alfred,-33.59,26.89,1573351788,64.99,83,100,15.95
112,Nishihara,35.74,139.53,1573351788,62.74,45,20,8.05
113,Shimoda,34.7,138.93,1573351788,62.44,55,20,12.75
114,Vanimo,-2.67,141.3,1573351788,83.21,70,100,4.85
115,Kruisfontein,-34.0,24.73,1573351789,59.74,91,96,10.74
116,Nokha,27.56,73.47,1573351756,71.94,27,29,6.06
117,Coahuayana,18.62,-100.35,1573351789,74.77,75,8,3.31
118,Den Helder,52.96,4.76,1573351789,38.39,93,0,8.05
119,Hamilton,43.26,-79.87,1573351642,37.2,69,75,12.75
120,Bredasdorp,-34.53,20.04,1573351789,60.91,82,95,16.11
121,Rincon,8.46,-82.28,1573351789,70.12,94,75,2.24
122,Saint-Philippe,45.36,-73.48,1573351789,34.72,59,90,14.99
123,Upernavik,72.79,-56.15,1573351789,15.3,74,82,5.01
124,Charters Towers,-20.07,146.27,1573351789,93.51,13,1,7.16
125,Santa Lucia,41.98,12.66,1573351789,48.2,93,59,4.7
126,Gamba,28.28,88.52,1573351789,28.27,42,1,3.76
127,Klaksvik,62.23,-6.59,1573351789,37.4,64,94,9.17
128,Puri,-7.54,112.45,1573351789,92.17,47,4,3.83
129,Meadow Lake,54.13,-108.44,1573351789,5.92,91,89,5.73
130,Nome,30.04,-94.42,1573351789,49.69,87,1,2.55
131,Vila,45.18,8.4,1573351790,41.79,93,75,4.7
132,Norman Wells,65.28,-126.83,1573351790,-4.01,91,20,4.7
133,Moussoro,13.64,16.49,1573351790,81.77,12,100,9.75
134,Clyde River,70.47,-68.59,1573351790,17.6,85,90,34.45
135,Gorontalo,0.54,123.06,1573351516,78.17,85,98,2.95
136,Mahebourg,-20.41,57.7,1573351790,68.67,93,40,4.7
137,Port Hawkesbury,45.62,-61.36,1573351790,28.08,74,1,8.05
138,Itarema,-2.92,-39.92,1573351790,77.4,82,100,8.55
139,Ponta do Sol,-20.63,-46.0,1573351790,67.89,93,100,3.69
140,North Bay,46.31,-79.46,1573351651,33.15,97,90,9.17
141,Tilichiki,60.47,166.1,1573351790,32.29,98,100,9.06
142,Shu,43.6,73.76,1573351790,34.0,52,100,8.99
143,Itoman,26.12,127.67,1573351790,75.06,44,75,2.24
144,Truro,50.26,-5.05,1573351790,45.73,81,100,31.09
145,Ugoofaaru,5.67,73.0,1573351791,81.95,71,7,4.61
146,Airai,-8.93,125.41,1573351791,84.94,34,77,8.63
147,Galle,10.08,-12.83,1573351791,70.9,96,0,1.36
148,Zhigansk,66.77,123.37,1573351791,5.04,92,100,11.92
149,Ribeira Grande,38.52,-28.7,1573351791,61.93,86,31,4.21
150,Melfi,41.0,15.66,1573351791,50.0,87,20,1.12
151,Georgetown,6.8,-58.16,1573351791,77.0,100,20,4.7
152,Aksarka,66.56,67.8,1573351791,-5.57,100,82,1.81
153,Zyryanovsk,49.74,84.27,1573351791,29.61,92,100,2.55
154,Caravelas,-17.73,-39.27,1573351791,69.35,95,0,6.08
155,Bandar-e Anzali,37.47,49.46,1573351791,46.4,100,0,3.78
156,Bandarbeyla,9.49,50.81,1573351791,79.34,72,0,15.12
157,Samarai,-10.62,150.67,1573351791,84.06,69,99,9.42
158,Talnakh,69.49,88.39,1573351791,-16.61,75,91,8.95
159,Teutonia,51.59,9.03,1573351791,32.43,86,0,4.7
160,Grindavik,63.84,-22.43,1573351791,39.2,86,75,12.75
161,Coquimbo,-29.95,-71.34,1573351791,55.4,93,0,6.93
162,Toamasina,-18.17,49.38,1573351791,73.4,100,75,11.18
163,Sao Jose da Coroa Grande,-8.9,-35.15,1573351792,79.45,75,24,14.12
164,Nabinagar,23.88,90.97,1573351792,73.4,94,90,11.41
165,Bambous Virieux,-20.34,57.76,1573351792,68.56,93,40,4.7
166,Rizhao,35.43,119.46,1573351792,60.96,24,0,26.24
167,Manggar,-2.88,108.27,1573351792,84.31,64,0,4.68
168,Vardo,39.62,-77.74,1573351792,32.38,69,40,7.07
169,Biltine,14.53,20.93,1573351792,76.89,16,98,13.49
170,Oum Hadjer,13.3,19.7,1573351792,77.5,18,100,9.08
171,Bluff,-23.58,149.07,1573351792,86.54,9,27,3.89
172,Fuzhou,26.08,119.3,1573351524,68.0,49,86,4.47
173,Chekhov,55.14,37.45,1573351792,39.9,93,90,11.18
174,Tiarei,-17.53,-149.33,1573351792,83.35,69,75,5.82
175,Manta,45.1,24.1,1573351792,51.93,77,0,8.28
176,Victoria,5.28,115.24,1573351792,82.18,78,75,3.36
177,Inderka,53.25,46.26,1573351793,29.64,81,0,7.56
178,Aswan,24.09,32.9,1573351793,69.58,31,0,9.62
179,Faanui,-16.48,-151.75,1573351793,79.36,80,100,16.82
180,Dzhebariki-Khaya,62.22,135.8,1573351793,-14.1,89,20,0.85
181,Nanortalik,60.14,-45.24,1573351793,36.9,78,100,30.76
182,Turukhansk,65.8,87.96,1573351793,-22.74,99,100,3.36
183,Burgkirchen,48.2,13.1,1573351793,31.69,93,0,2.24
184,Okakarara,-20.59,17.46,1573351793,71.13,30,100,4.74
185,Suntar,62.16,117.65,1573351793,15.13,90,99,11.18
186,Lasa,34.92,32.53,1573351793,69.19,45,0,9.17
187,Atikokan,48.76,-91.62,1573351793,21.22,90,100,7.29
188,Talavera de la Reina,39.96,-4.83,1573351793,48.0,85,100,1.99
189,Praya,-8.71,116.27,1573351793,87.8,55,20,5.82
190,Longyearbyen,78.22,15.63,1573351793,24.8,79,75,13.87
191,Kahului,20.89,-156.47,1573351628,82.71,45,1,9.17
192,Ahipara,-35.17,173.16,1573351794,70.0,100,100,24.23
193,Floro,61.6,5.03,1573351794,25.77,63,0,6.93
194,Yerbogachen,61.28,108.01,1573351794,-4.65,91,100,12.1
195,Luderitz,-26.65,15.16,1573351794,60.8,87,20,5.82
196,Shubarkuduk,49.15,56.49,1573351794,28.63,74,100,11.36
197,Doha,25.29,51.53,1573351777,78.15,83,46,4.7
198,Butaritari,3.07,172.79,1573351794,84.78,62,73,0.31
199,Jiangyou,31.78,104.73,1573351794,57.69,64,42,3.74
200,Batsfjord,70.63,29.72,1573351794,17.6,85,1,4.7
201,Mumbwa,-14.99,27.06,1573351794,73.31,49,62,9.86
202,Lompoc,34.64,-120.46,1573351794,59.92,72,1,5.82
203,Ottawa,45.42,-75.69,1573351610,33.75,69,90,10.29
204,Daru,-9.07,143.21,1573351794,85.91,64,41,7.25
205,Sitka,37.17,-99.65,1573351795,53.01,33,0,4.0
206,Le Port,42.87,1.37,1573351795,41.05,77,100,10.0
207,Port Hedland,-20.31,118.58,1573351795,104.0,7,40,11.41
208,Sarkand,45.41,79.91,1573351795,43.95,44,100,2.64
209,Mityana,0.4,32.05,1573351795,69.8,83,20,5.82
210,Rayong,12.68,101.28,1573351795,83.71,57,20,6.93
211,Lavrentiya,65.58,-170.99,1573351795,34.54,96,100,5.93
212,Boueni,-12.9,45.08,1573351795,78.8,83,92,1.12
213,Capitan Bado,-23.27,-55.53,1573351795,70.93,86,100,2.77
214,Roswell,33.39,-104.52,1573351674,49.89,100,1,8.05
215,The Valley,18.22,-63.06,1573351795,80.8,83,20,9.17
216,Plettenberg Bay,-34.05,23.37,1573351795,62.15,83,93,8.66
217,Cabo San Lucas,22.89,-109.91,1573351795,79.47,42,75,6.93
218,Pierre,44.37,-100.35,1573351586,48.06,61,1,12.75
219,Abha,18.22,42.5,1573351795,53.6,81,0,0.98
220,Barth,54.37,12.73,1573351795,39.96,93,75,4.7
221,Paamiut,61.99,-49.67,1573351795,39.58,62,100,18.21
222,Cockburn Town,21.46,-71.14,1573351795,82.33,77,2,10.16
223,Port Blair,11.67,92.75,1573351795,81.88,72,19,3.49
224,Roald,62.58,6.12,1573351796,19.56,74,0,11.41
225,Vila Franca do Campo,37.72,-25.43,1573351796,59.0,87,20,5.82
226,Mounana,-1.38,13.16,1573351796,69.37,98,100,1.45
227,Lorengau,-2.02,147.27,1573351796,80.67,84,100,19.24
228,Luanda,-8.83,13.24,1573351796,80.6,83,75,5.82
229,Saint George,39.45,22.34,1573351796,55.4,100,40,5.82
230,Tautira,-17.73,-149.15,1573351796,83.37,69,75,5.82
231,Fallon,46.84,-105.12,1573351796,32.0,91,90,17.22
232,Mahanoro,-19.9,48.8,1573351796,78.06,83,35,15.37
233,Gao,16.28,-0.04,1573351796,81.09,13,1,13.18
234,Limon,39.26,-103.69,1573351796,48.72,31,1,7.05
235,Varzea Grande,-29.42,-50.86,1573351796,68.02,94,94,8.05
236,Grand-Lahou,5.24,-5.0,1573351797,81.64,77,0,8.23
237,Nang Rong,14.64,102.79,1573351797,74.28,88,92,9.17
238,Bogo,10.74,14.61,1573351797,77.29,33,77,3.31
239,Fairbanks,64.84,-147.72,1573351607,4.06,91,1,4.7
240,Petukhovo,55.06,67.89,1573351797,17.26,61,0,2.37
241,Puerto del Rosario,28.5,-13.86,1573351797,66.99,68,75,26.4
242,Gombong,-7.19,109.31,1573351797,92.64,42,0,2.13
243,Schruns,47.08,9.92,1573351797,29.37,100,0,2.24
244,Dustlik,40.53,68.03,1573351797,47.12,43,0,3.04
245,Alta Gracia,-31.66,-64.43,1573351797,73.83,83,75,2.24
246,Kaeo,-35.1,173.78,1573351797,68.99,100,100,24.11
247,Juneau,58.3,-134.42,1573351504,32.0,60,75,18.34
248,Kirakira,-10.46,161.92,1573351797,83.41,64,91,2.17
249,Hami,42.84,93.51,1573351797,42.75,22,0,1.48
250,Santa Pola,38.19,-0.56,1573351797,57.02,62,40,5.82
251,Aykhal,65.95,111.51,1573351797,-13.01,83,90,6.71
252,Muros,42.77,-9.06,1573351798,47.73,93,40,1.12
253,San Policarpo,12.18,125.51,1573351798,88.63,58,31,3.85
254,Alekseyevsk,57.84,108.35,1573351798,8.15,81,100,10.67
255,Dingle,11.0,122.67,1573351798,84.31,75,33,2.55
256,Kununurra,-15.77,128.74,1573351798,95.0,39,65,5.82
257,Marabba,12.35,32.18,1573351798,78.03,15,100,7.2
258,Marawi,8.0,124.29,1573351798,84.0,76,55,5.01
259,Kodinsk,58.6,99.18,1573351798,1.4,86,100,10.8
260,Garissa,-0.46,39.64,1573351798,78.03,75,0,11.41
261,Inhambane,-23.87,35.38,1573351798,73.69,74,72,9.78
262,Mashhad,36.3,59.61,1573351575,35.6,69,0,4.7
263,Mount Pleasant,33.16,-94.97,1573351798,48.69,93,1,5.79
264,Lisakovsk,52.55,62.49,1573351798,14.2,83,0,4.36
265,Rome,41.89,12.48,1573351798,48.9,93,59,4.7
266,Yangambi,0.77,24.47,1573351798,69.33,98,100,0.96
267,Mandawar,29.49,78.13,1573351798,68.22,49,0,6.73
268,Tura,64.27,100.22,1573351687,-12.21,94,100,4.52
269,Numan,9.46,12.04,1573351799,79.21,49,100,1.9
270,Labuhan,-2.54,115.51,1573351799,93.34,46,98,2.1
271,Hearst,49.69,-83.67,1573351799,15.12,96,100,3.98
272,Sampit,-2.54,112.95,1573351799,94.46,42,80,4.23
